frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
22,5.0,1105.4733718650648 555.3928492831623 1557.0528308330038 901.1152960446096,1237.6190185546875 779.1866455078125 1321.1048583984375 825.7049560546875,0.6319484114646912,SPF-787,0.9504210352897644
22,1.0,250.1205050121496 475.8128163509738 692.7469877649283 925.0467035220576,430.67706298828125 722.119873046875 501.6773986816406 771.9234008789062,0.4817180931568146,SPF-9A9,0.9057361483573914
23,5.0,1102.682841341463 555.3665979086421 1554.2270001035338 901.4558942885272,1238.4456787109375 778.2453002929688 1320.6861572265625 825.4061279296875,0.6219448447227478,SPF-787,0.9825032353401184
23,1.0,251.45643232192495 475.10884138667603 694.5656384536759 925.0689398544232,436.10040283203125 722.4926147460938 497.513427734375 770.5872802734375,0.26219838857650757,SPF-9A9,0.7627373933792114
23,6.0,818.1250267755381 848.3072388036512 1093.9249921621365 1082.377057807397,918.4449462890625 868.4738159179688 978.123046875 908.75244140625,0.20558170974254608,RAFE,0.7248369455337524
24,5.0,1101.238559373621 555.6596158181346 1552.6096163531895 902.0326542800158,1232.983642578125 780.9420776367188 1314.27734375 826.0609130859375,0.5605566501617432,SPF-787,0.9556648135185242
24,6.0,827.6417198204773 846.8836463369787 1089.7504035974773 1080.5214203046812,919.4461669921875 867.6007690429688 980.9619140625 909.5040893554688,0.45825445652008057,RAFE,0.5854222178459167
25,5.0,1099.305734557821 556.507578006427 1551.2616134638927 903.5613252268655,1229.0927734375 782.8485107421875 1313.53173828125 827.4031982421875,0.5340064764022827,SPF-787,0.972939133644104
25,6.0,819.0075660618625 846.5948894702494 1083.6746613435564 1080.3622599864855,918.6454467773438 868.5953369140625 980.7625122070312 910.2723388671875,0.5095868110656738,RAFE,0.6404268741607666
26,5.0,1098.077739146292 559.2965905112301 1550.4720030921058 906.7018778431498,1227.20361328125 783.262939453125 1313.965576171875 830.460205078125,0.6252347826957703,SPF-787,0.96330326795578
26,6.0,819.6395288229324 850.1674108643628 1078.8113693869218 1080.866014888634,918.041015625 868.0693359375 979.84716796875 916.0693359375,0.5255177021026611,RAFE,0.5286322832107544
27,5.0,1095.264589758576 561.7613842002108 1549.1721350456498 909.7366328084154,1227.984619140625 787.175537109375 1313.4716796875 832.50732421875,0.6274223327636719,SPF-787,0.9746034741401672
